Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Label
0,124.5361328,14.91436045,121.8183594,16.23383255,118.5576172,16.62484142,256.9916753,12.16298127,0.093266411,0.001595729,0.039941764,0.51561781,0
1,124.3671875,16.19166022,122.2861328,17.55207551,119.3515625,17.97468482,228.7533331,11.57911681,0.093485041,0.00152313,0.039026237,0.625627543,0
2,123.0283203,13.2967255,119.7119141,14.30908852,116.1650391,14.43280187,234.828125,11.61618757,0.095467705,0.001728724,0.041573743,0.409067655,0
3,126.84375,13.86729093,123.921875,14.83054511,121.0039063,14.86560839,250.9920086,12.0644267,0.090272558,0.00165854,0.040723379,0.406079915,0
4,126.2041016,17.25119852,124.2099609,18.86666461,121.3496094,19.47320976,288.1064077,13.00685321,0.079756342,0.001453221,0.03811537,0.601848507,0
5,126.2421875,13.80521363,123.1845703,14.7451699,120.1367188,14.77305069,258.186118,12.28918444,0.08467724,0.001606365,0.040078282,0.390431005,0
6,124.6943359,15.29473865,121.8837891,16.62474068,118.6435547,17.01719309,261.3317752,12.39993334,0.086448547,0.001598927,0.039978029,0.523958326,0
7,124.8896484,15.9446225,122.9775391,17.26467004,120.0722656,17.66475604,248.5995708,12.16065622,0.086027569,0.001455703,0.038149986,0.58018096,0
8,128.2753906,13.85183666,125.4658203,14.74029089,122.6035156,14.74314682,255.1902803,12.36794355,0.085112803,0.001554273,0.039418087,0.404503403,0
9,127.7539063,13.79198081,125,14.69481201,122.1484375,14.66652217,229.1759073,11.6864269,0.092284505,0.001576413,0.039703752,0.453307661,0
10,126.6289063,16.87115073,124.3417969,18.45646194,121.6796875,19.08740529,265.2340823,12.2909892,0.087781713,0.001525928,0.039060067,0.614063512,0
11,127.6835938,17.07690224,125.5664063,18.67274408,122.9423828,19.27979635,278.7314971,12.6316012,0.087356632,0.001457377,0.038172481,0.605804574,0
12,126.1943359,16.94575235,124.1923828,18.39234674,121.3388672,18.8656696,280.7456507,12.93863001,0.082554769,0.001405235,0.03748153,0.587111008,0
13,126.7792969,14.73191824,125.3212891,15.84542323,123.0166016,16.31557436,279.9683435,12.91096514,0.077819825,0.001464899,0.038265052,0.434370792,0
14,124.6230469,16.25566296,122.2988281,17.69734042,119.4140625,18.27594574,238.03677,11.75677192,0.088874864,0.001620808,0.040257417,0.624153743,0
15,126.71875,16.11461027,124.8857422,17.40020743,122.0683594,17.7315379,288.290916,13.25023576,0.079880461,0.001361731,0.036895692,0.52466644,0
16,128.1123047,14.04506158,125.4003906,15.04926285,122.5039063,15.0018223,251.0258845,12.30451678,0.085798307,0.001508478,0.038834771,0.43605408,0
17,122.5214844,13.26302158,119.0683594,14.2146359,115.5917969,14.31725396,222.4640186,11.29807817,0.100976581,0.001796759,0.042380853,0.437030775,0
18,124.7851563,13.78839577,121.5175781,14.81927863,118.1552734,14.91009226,246.8325231,11.876569,0.090828314,0.001630221,0.040373809,0.424374554,0
19,124.6591797,13.26517607,121.5126953,14.16138273,118.3447266,14.17625213,230.7733887,11.66838742,0.093189619,0.001690883,0.041102645,0.403154929,0
20,115.6416016,9.875072576,112.9511719,10.83143026,110.5048828,11.533747,192.7876723,10.14467352,0.111649976,0.002008283,0.044812236,0.183723804,0
21,112.2988281,9.404461966,108.9736328,10.03715208,105.7529297,10.38555991,195.5946117,10.63381243,0.09933658,0.002032214,0.045078401,0.035988142,0
22,128.8154297,8.930182549,128.3076172,9.801053265,128.6757813,11.00081493,110.981115,7.930906933,0.129457136,0.002165867,0.046533855,0.440894164,0
23,133.8496094,9.540663376,134.2910156,10.286486,135.7041016,10.87730502,154.8085003,9.021315687,0.111674899,0.002046307,0.045233249,0.258830469,0
24,125.5195313,9.688286731,124.3867188,10.72156757,123.9375,12.08086361,115.9931143,8.086425273,0.12528595,0.001953401,0.044194092,0.50973567,0
25,112.7685547,9.910544587,109.6699219,10.67947586,106.6582031,11.20687791,204.6574694,10.84674168,0.097408076,0.001978006,0.044473772,0.110887895,0
26,126.4697266,9.920340015,125.7294922,10.86278361,125.4902344,12.18260728,118.6447142,8.211539087,0.121942658,0.001917393,0.043779515,0.513894618,0
27,129.5673828,9.921830737,129.0361328,10.82963162,129.5087891,11.96911393,125.2247252,8.317548452,0.125071539,0.001940199,0.044034125,0.48595112,0
28,149.3134766,18.65387794,154.1484375,22.34716839,158.1582031,24.96529566,201.2272779,10.15791656,0.108716032,0.001391933,0.037304347,0.807407308,0
29,144.6748047,17.74908421,147.9208984,21.04085017,150.8886719,23.31206661,171.5474928,9.343473595,0.115216789,0.001478676,0.038446745,0.812622702,0
30,113.5175781,9.722903232,110.5234375,10.61127043,107.9257813,11.1464137,203.3854871,10.82988098,0.099305406,0.001956066,0.044224019,0.094854289,0
31,114.0068359,9.919251727,111.0019531,10.72061737,108.2714844,11.23803736,210.2957206,10.93080125,0.098117482,0.0019016,0.043605967,0.095865913,0
32,113.0048828,9.635696957,110.0175781,10.49691564,107.3525391,11.165382,199.7389682,10.83473433,0.096130407,0.001897986,0.043564794,0.088540719,0
33,117.9238281,9.43936543,115.6445313,10.43200685,113.5791016,11.36433191,149.834084,9.147218067,0.11651677,0.001958999,0.044256662,0.315624478,0
34,134.2480469,9.46286926,134.8535156,10.14523573,136.5341797,10.65486628,155.1188866,9.086677289,0.117580071,0.002265886,0.047597084,0.229646027,0
35,112.6757813,10.12684972,109.5556641,11.05211497,106.6923828,11.67931283,218.8455385,11.37504878,0.089685343,0.001798341,0.042406026,0.098419417,0
36,111.9199219,9.730922521,108.4316406,10.23928627,104.9912109,10.50013583,201.7509186,10.96053102,0.090584867,0.002004768,0.044771921,0.033121165,0
37,112.4189453,9.061921989,108.6152344,9.449619822,105.2011719,9.675221987,169.6879065,10.06487383,0.100359124,0.002056719,0.045350561,0.041665535,0
38,112.5664063,9.70590411,109.015625,10.23893028,105.8232422,10.61079044,200.5450133,10.67360659,0.100703447,0.002007076,0.044798298,0.049410764,0
39,134.65625,9.565205908,135.2597656,10.16614433,137.1337891,10.67601132,164.4979839,9.412818678,0.116156186,0.002157421,0.046447109,0.200493042,0
40,158.3994141,41.9483923,157.7285156,43.66134463,160.1455078,43.24364702,1776.812492,32.19832043,0.030939707,0.001099213,0.033153508,0.527440876,0
41,179.8496094,45.22669505,180.1445313,46.22134468,182.1777344,46.00833879,1864.194451,33.24256146,0.036603679,0.001088618,0.032993681,0.559587266,0
42,162.3427734,44.29579955,162.3369141,45.45401141,164.0996094,45.42986782,1295.677062,27.33718132,0.043450607,0.001122069,0.033496609,0.686170911,0
43,185.2382813,43.80400528,185.7060547,44.79718317,188.2021484,44.30964769,1811.493813,32.79782616,0.034137016,0.001091933,0.033043336,0.542146333,0
44,178.5878906,44.84835658,178.3115234,46.17459673,181.0126953,45.62117744,2078.373049,35.33018991,0.033777318,0.001082829,0.032905793,0.507243602,0
45,184.4912109,45.07175183,185.0087891,46.20302641,187.3457031,45.52748162,2282.43789,36.82726327,0.03184606,0.001075241,0.032789661,0.445288526,0
